Clave;Fuente;Fecha licitacion;Apertura;Cierre;Estado;Categoria;Titulo;Emisor;Tipo (API);Moneda titulo;Moneda monto;Moneda (clase);Monto a licitar;Monto adjudicado;Adjudicado / licitado;Tasa/margen de corte (%);Desierta;Valor de corte (texto);Variable licitada;Sistema adjudicacion;Ampliable hasta;Liquidacion;Vencimiento;Plazo (dias);Industria;Colocadores;Liquidador;Rueda;Modalidad;Observaciones;Enlace
a3:-963;a3;2026-09-24;10:00;16:15;Activa;Deuda Publica;TITULOS DE DEUDA PÚBLICA DE LA CIUDAD DE BUENOS AIRES CLASE 24;GOBIERNO DE LA CIUDAD DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;75.000.000,00;20.724.373,00;0,2763;;;Ninguno;TASA;Holandés;V/N US$ 150.000.000;2026-09-29;2029-03-29;912;;BALANZ CAPITAL VALORES S.A.U. BANCO DE LA CIUDAD DE BUENOS AIRES BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO SANTANDER ARGENTINA S.A. ALLARIA S.A. FACIMEX VALORES S.A. PUENTE HNOS. S.A.;Clear;GAL2;Abierta;Los Títulos de Deuda Pública Clase 24 deberán ser Suscriptos, Integrados y Pagaderos en Pesos;
a3:-919;a3;2026-09-23;10:00;16:00;Finalizada;ON Corporativa;ON JOHN DEERE CREDIT COMPAÑÍA FINANCIERA CLASE XXI;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;Privada - ON;USD;USD;USD;40.000.000,00;35.903.000,00;0,8976;6,0000;;TASA DE CORTE: 6.00%;TASA;Holandés;V/N US$ 80.000.000;2026-09-28;2029-03-28;912;;BANCO DE GALICIA Y BUENOS AIRES S.A. BALANZ CAPITAL VALORES S.A.U. BANCO SANTANDER ARGENTINA S.A. BANCO BBVA ARGENTINA S.A. PUENTE HNOS. S.A. MACRO SECURITIES S.A.U. BANCO PATAGONIA S.A. BANCO COMAFI S.A. ALLARIA S.A. COCOS CAPITAL S.A. FIRST CAPITAL MARKETS S.A.;Clear;SRIO;Abierta;Las Obligaciones Negociables Clase XXI serán Suscriptas, Integradas y Pagaderas en Dólares Estadounidenses en la República Argentina (Dólar MEP);
a3:-923;a3;2026-09-23;10:00;16:30;Finalizada;ON PyME CNV;ON BAJO IMPACTO DERENTAS SERIE II;DERENTAS S.R.L;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;4.000.000.000,00;9.357.142.856,00;2,3393;0,0000;;MARGEN DE CORTE: 0.00 %;MARGEN;Holandés;10.000.000.000;2026-09-25;2028-09-25;731;;BANCO CMF S.A. BANCO DE GALICIA Y BUENOS AIRES S.A.;Clear;OBI2;Abierta;Las Obligaciones Negociables Serie II serán Suscriptas, Integradas y Pagaderas en Pesos;
a3:-942;a3;2026-09-23;10:00;16:00;Finalizada;Otro;VCP COOPERATIVA DE CRÉDITO Y VIVIENDA UNICRED LIMITADA SERIE V;COOPERATIVA DE CREDITO Y VIVIENDA UNICRED LIMITADA;Privada - VCP;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;8.000.000.000,00;1,6000;7,5000;;MARGEN DE CORTE: 7.50% N.A.;MARGEN;Holandés;$ 8.000.000.000;2026-09-24;2027-09-24;365;;ADCAP SECURITIES ARGENTINA S.A. ALLARIA S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. INDUSTRIAL VALORES S.A. OPTION SECURITIES S.A.;Clear;ADCA;Abierta;La Oferta Pública Primaria de los Valores de Corto Plazo se encuentra dirigida exclusivamente a Inversores Calificados y será realizada por intermedio de los Colocadores de conformidad con, y sujeto a, los términos y condiciones previstos en el Contrato de Colocación.;
a3:-945;a3;2026-09-23;10:00;16:15;Finalizada;ON Corporativa;ON ROMBO COMPAÑÍA FINANCIERA SERIE 69;ROMBO COMPAÑÍA FINANCIERA S.A.;Privada - ON;ARS PESOS;ARS PESOS;ARS;10.000.000.000,00;30.009.162.500,00;3,0009;4,5000;;MARGEN DE CORTE: 4.50%;MARGEN;Holandés;35000000000;2026-09-25;2027-09-27;367;;BANCO BBVA ARGENTINA S.A. BANCO PATAGONIA S.A. BANCO COMAFI S.A. BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO SANTANDER ARGENTINA S.A. MACRO SECURITIES S.A.U.;Clear;BBVA;Abierta;Las Obligaciones Negociables Serie 69 serán Suscriptas, Integradas y Pagaderas en Pesos.;
a3:-946;a3;2026-09-23;10:00;16:15;Finalizada;ON Corporativa;ON ROMBO COMPAÑÍA FINANCIERA SERIE 70;ROMBO COMPAÑÍA FINANCIERA S.A.;Privada - ON;ARS PESOS;ARS PESOS;ARS;10.000.000.000,00;;;;;;TEM;Holandés;V/N $ 35.000.000.000;2026-09-25;2027-06-25;273;;BANCO BBVA ARGENTINA S.A. BANCO COMAFI S.A. BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO PATAGONIA S.A. MACRO SECURITIES S.A.U. BANCO SANTANDER ARGENTINA S.A.;Clear;BBVA;Abierta;Las Obligaciones Negociables Serie 70 serán Suscriptas, Integradas y Pagaderas en Pesos.;
a3:-953;a3;2026-09-23;10:00;16:30;Finalizada;ON Corporativa;ON BANCO PATAGONIA CLASE V;BANCO PATAGONIA S.A.;Privada - ON;USD;USD;USD;20.000.000,00;39.338.295,00;1,9669;3,2500;;TASA DE CORTE: 3.25%;TASA;Holandés;60000000;2026-09-25;2027-09-27;367;;BANCO PATAGONIA S.A. BALANZ CAPITAL VALORES S.A.U. INVERTIRONLINE S.A.U. COCOS CAPITAL S.A. PATAGONIA VALORES S.A. MAX CAPITAL S.A.;Clear;BPAT;Abierta;Las Obligaciones Negociables Clase V denominadas en dólares estadounidenses, a ser suscriptas e integradas en dólares estadounidenses en la República Argentina o en especie mediante la entrega de obligaciones negociables clase IV.;
a3:-954;a3;2026-09-23;10:00;16:30;Finalizada;ON Corporativa;ON BANCO PATAGONIA CLASE VI;BANCO PATAGONIA S.A.;Privada - ON;USD;USD;USD;20.000.000,00;16.434.376,00;0,8217;5,2500;;TASA DE CORTE: 5.25%;TASA;Holandés;V/N US$ 60.000.000;2026-09-25;2028-09-25;731;;BANCO PATAGONIA S.A. BALANZ CAPITAL VALORES S.A.U. INVERTIRONLINE S.A.U. COCOS CAPITAL S.A. PATAGONIA VALORES S.A. MAX CAPITAL S.A.;Clear;BPAT;Abierta;Las Obligaciones Negociables Clase VI denominadas en dólares estadounidenses, a ser suscriptas e integradas en dólares estadounidenses en la República Argentina o en especie mediante la entrega de obligaciones negociables clase IV.;
a3:-928;a3;2026-09-22;11:30;15:00;Finalizada;Deuda Publica;CONVERSIÓN LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/09/2026 (D30S6) X (D30O6);MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;2.418.615.422,00;2.418.615.422,0000;;;PRECIO DE CORTE: $ 993.58;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-25;;;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;La Secretaría de Finanzas invita a los tenedores de la LETRA DÓLAR LINKED con vencimiento 30 de Septiembre de 2026 (D30S6), a participar de una operación de conversión. La licitación será con un único pliego competitivo. Los participantes deberán indicar la cantidad de VNO en Dólares Estadounidenses y el Precio en Dólares Estadounidenses por cada VNO USD 1.000 con dos decimales de la LELINK D30O6.;
a3:-929;a3;2026-09-22;11:30;15:00;Finalizada;Deuda Publica;CONVERSIÓN LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/09/2026 (D30S6) X (D30N6);MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;843.337.067,00;843.337.067,0000;;;PRECIO DE CORTE: $ 989.98;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-25;;;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;La Secretaría de Finanzas invita a los tenedores de la LETRA DÓLAR LINKED con vencimiento 30 de Septiembre de 2026 (D30S6), a participar de una operación de conversión. La licitación será con un único pliego competitivo. Los participantes deberán indicar la cantidad de VNO en Dólares Estadounidenses y el Precio en Dólares Estadounidenses por cada VNO USD 1.000 con dos decimales de la LELINK D30N6.;
a3:-930;a3;2026-09-22;11:30;15:00;Finalizada;Deuda Publica;CONVERSIÓN LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/09/2026 (D30S6) X (TZV28);MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;70.179.576,00;70.179.576,0000;;;PRECIO DE CORTE: $ 846.60;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-25;;;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;La Secretaría de Finanzas invita a los tenedores de la LETRA DÓLAR LINKED con vencimiento 30 de Septiembre de 2026 (D30S6), a participar de una operación de conversión. La licitación será con un único pliego competitivo. Los participantes deberán indicar la cantidad de VNO en Dólares Estadounidenses y el Precio en Dólares Estadounidenses por cada VNO USD 1.000 con dos decimales del BONO DÓLAR LINKED TZV28.;
cnv:3572147;cnv;2026-09-22;11:15;;Anunciada;ON Corporativa;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - CENTRAL DOCK SUD - OBLIGACIONES NEGOCIABLES CLASE I - CALIFICACIÓN DE RIESGO;CENTRAL DOCK SUD SOCIEDAD ANONIMA.;CNV - ON;;;;;;;;;;;;;;;;;;;;;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - CENTRAL DOCK SUD - OBLIGACIONES NEGOCIABLES CLASE I - CALIFICACIÓN DE RIESGO;https://aif2.cnv.gov.ar/Presentations/publicview/FB65EA18-93C8-4629-8A8A-05B1ED679FFF
a3:-780;a3;2026-09-22;11:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DE BUENOS AIRES EN PESOS AJUSTABLES POR CER A DTO. CON VTO. 18/02/2027 - NUEVA;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;2.000.000.000,00;24.756.076.416,00;12,3780;;;PRECIO DE CORTE: 0.977517;PRECIO;Holandés;EL MONTO MAXIMO AUTORIZADO;2026-09-24;2027-02-18;147;;BANCO DE LA PROVINCIA DE BUENOS AIRES;Clear;BSAS;Ciega;Las Letras deberán ser Integradas en Efectivo y/o en Especie.;
a3:-781;a3;2026-09-22;11:00;16:00;Finalizada;Deuda Publica;TÍTULOS DE DEUDA PÚBLICA DE LA PROVINCIA DE BUENOS AIRES A TASA VARIABLE CON VTO. 30/03/2028 (PBM28) − REAPERTURA;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;50.000.000.000,00;347.433.773.081,00;6,9487;;;PRECIO DE CORTE: 1.107807;PRECIO;Holandés;EL MONTO MAXIMO AUTORIZADO;2026-09-24;2028-03-30;553;;BANCO DE LA PROVINCIA DE BUENOS AIRES;Clear;BSAS;Ciega;Los Títulos de Deuda Pública deberán ser Integrados en Efectivo y/o en Especie;
a3:-906;a3;2026-09-22;11:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DE BUENOS AIRES EN PESOS A DTO. CON VTO. 22/10/2026 (LB2O6) − REAPERTURA;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;4.000.000.000,00;430.191.275.699,00;107,5478;;;PRECIO DE CORTE: 0.981737;PRECIO;Holandés;EL MONTO MÁXIMO AUTORIZADO;2026-09-24;2026-10-22;28;;BANCO DE LA PROVINCIA DE BUENOS AIRES;Clear;BSAS;Ciega;Las Letras deberán ser Integradas en Efectivo y/o en Especie.;
a3:-907;a3;2026-09-22;11:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DE BUENOS AIRES EN PESOS A DTO. CON VTO. 19/11/2026 - NUEVA;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;2.000.000.000,00;99.181.729.606,00;49,5909;;;PRECIO DE CORTE: 0.962350;PRECIO;Holandés;EL MONTO MÁXIMO AUTORIZADO;2026-09-24;2026-11-19;56;;BANCO DE LA PROVINCIA DE BUENOS AIRES;Clear;BSAS;Ciega;Las Letras deberán ser Integradas en Efectivo y/o en Especie.;
a3:-909;a3;2026-09-22;11:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DE BUENOS AIRES EN PESOS CAPITALIZABLES CON VTO. 17/12/2026 - NUEVA;GOBIERNO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;2.000.000.000,00;25.603.343.708,00;12,8017;2,1500;;TEM DE CORTE: 2.15%;TEM;Holandés;EL MONTO AUTORIZADO;2026-09-24;2026-12-17;84;;BANCO DE LA PROVINCIA DE BUENOS AIRES;Clear;BSAS;Ciega;Las Letras deberán ser Integradas en Efectivo y/o en Especie.;
a3:-922;a3;2026-09-22;10:00;16:00;Finalizada;ON Corporativa;ON OTAMERICA EBYTEM SERIE VII;OTAMERICA EMBYTEM S.A.;Privada - ON;USD;USD;USD;50.000.000,00;80.000.000,00;1,6000;6,2500;;TASA DE CORTE: 6.25 %;TASA;Holandés;V/N US$ 80.000.000;2026-09-25;2030-09-25;1461;;BANCO DE GALICIA Y BUENOS AIRES S.A. BALANZ CAPITAL VALORES S.A.U. BANCO SANTANDER ARGENTINA S.A. ADCAP SECURITIES ARGENTINA S.A. ALLARIA S.A. SBS TRADING S.A. BUENOS AIRES VALORES S.A. BANCO DE LA PROVINCIA DE BUENOS AIRES MAX CAPITAL S.A. BANCO PATAGONIA S.A. INVERTIRONLINE S.A.U. FACIMEX VALORES S.A. INDUSTRIAL VALORES S.A. PUENTE HNOS. S.A. BANCO MARIVA S.A. PP INVERSIONES S.A. GLOBAL VALORES S.A. CONO SUR INVERSIONES S.A. BANCO SUPERVIELLE S.A.;Clear;GALI;Abierta;Las Obligaciones Negociables Serie VII serán Suscriptas e Integradas en efectivo, en Dólares Estadounidenses en Argentina (Dólar Mep) y/o en especie mediante la entrega de las Obligaciones Negociables Serie V conforme a la Relación de Canje correspondiente.;
a3:-951;a3;2026-09-22;10:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DE RIO NEGRO SERIE I 2026;Provincia de Rio Negro;Pública;ARS PESOS;ARS PESOS;ARS;30.000.000.000,00;69.895.900.000,00;2,3299;7,0000;;MARGEN APLICABLE: 7.00 %;MARGEN;Holandés;EL MONTO MÁXIMO EN CIRCULACIÓN AUTORIZADO DEL PROGRAMA;2026-09-24;2027-09-24;365;;BANCO PATAGONIA S.A. BANCO HIPOTECARIO S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. BALANZ CAPITAL VALORES S.A.U. BACS BANCO DE CREDITO y SECURITIZACION S.A. BANCO DE LA NACION ARGENTINA MACRO SECURITIES S.A.U.;Clear;BPAT;Abierta;Las Letras del Tesoro Serie I serán Suscriptas e Integradas en Pesos;
a3:-955;a3;2026-09-22;10:00;16:15;Finalizada;ON PyME CNV;ON BAJO IMPACTO FAMIQ SERIE I;FAMIQ S.R.L.;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;1.000.000.000,00;2.071.428.571,00;2,0714;-0,5000;;MARGEN DE CORTE: -0.5%;MARGEN;Holandés;V/N $ 4.000.000.000;2026-09-24;2028-09-25;732;;BANCO DE GALICIA Y BUENOS AIRES S.A.;Clear;OBI1;Abierta;Las Obligaciones Negociables Serie I deberán ser Suscriptas, Integradas y Pagaderas en Pesos;
cnv:3571936;cnv;2026-09-21;16:55;;Anunciada;ON Corporativa;INFORMACIÓN FINANCIERA - BANCO SUPERVIELLE S.A. - OBLIGACIONES NEGOCIABLES ADICIONALES CLASE W - INFORME DE CALIFICACIÓN;BANCO SUPERVIELLE S.A..;CNV - ON;;;;;;;;;;;;;;;;;;;;;INFORMACIÓN FINANCIERA - BANCO SUPERVIELLE S.A. - OBLIGACIONES NEGOCIABLES ADICIONALES CLASE W - INFORME DE CALIFICACIÓN;https://aif2.cnv.gov.ar/Presentations/publicview/910E3662-9F9C-4A7D-B96B-48A29254006D
cnv:202609211955-banco-supervielle-s-a-;cnv;2026-09-21;16:55;;Anunciada;ON Corporativa;BANCO SUPERVIELLE S.A. - OBLIGACIONES NEGOCIABLES ADICIONALES CLASE W - INFORME DE CALIFICACIÓN;BANCO SUPERVIELLE S.A.;CNV - ON;;;;;;;;;;;;;;;;;;;;;BANCO SUPERVIELLE S.A. - OBLIGACIONES NEGOCIABLES ADICIONALES CLASE W - INFORME DE CALIFICACIÓN;https://aif2.cnv.gov.ar/Presentations/publicview/910E3662-9F9C-4A7D-B96B-48A29254006D
a3:-947;a3;2026-09-21;10:00;16:00;Finalizada;ON Corporativa;ON BANCO DE SERVICIOS Y TRANSACCIONES CLASE XXX ADICIONALES;BANCO DE SERVICIOS Y TRANSACCIONES S.A.;Privada - ON;UVA;UVA;UVA;5.000.000,00;1.125.479,00;0,2251;;;PRECIO DE CORTE: $ 1.0063;PRECIO;Holandés;EL MONTO MÁXIMO AUTORIZADO;2026-09-23;2028-07-15;661;;BANCO DE SERVICIOS Y TRANSACCIONES S.A. INVERTIRONLINE S.A.U. ST SECURITIES S.A.U. BANCO PATAGONIA S.A. SCHWEBER SECURITIES S.A. PROVINCIA BURSATIL S.A. BUENOS AIRES VALORES S.A. BANCO DE LA PROVINCIA DE CORDOBA S.A. S&C INVERSIONES S.A. GMC VALORES S.A.;Clear;BST1;Abierta;Las Obligaciones Negociables Clase XXX Adicionales serán Suscriptas e Integradas en Pesos al Valor UVA Inicial.;
a3:-948;a3;2026-09-21;10:00;16:00;Finalizada;ON Corporativa;ON BANCO DE SERVICIOS Y TRANSACCIONES CLASE XXXI;BANCO DE SERVICIOS Y TRANSACCIONES S.A.;Privada - ON;USD;USD;USD;5.000.000,00;9.064.596,00;1,8129;6,0000;;TASA DE CORTE: 6.00 %;TASA;Holandés;EL MONTO MÁXIMO AUTORIZADO;2026-09-23;2027-09-27;369;;BANCO DE SERVICIOS Y TRANSACCIONES S.A. INVERTIRONLINE S.A.U. ST SECURITIES S.A.U. BANCO PATAGONIA S.A. SCHWEBER SECURITIES S.A. PROVINCIA BURSATIL S.A. BUENOS AIRES VALORES S.A. BANCO DE LA PROVINCIA DE CORDOBA S.A. S&C INVERSIONES S.A. GMC VALORES S.A.;Clear;BST1;Abierta;Las Obligaciones Negociables Clase XXXI deberán ser Suscriptas e Integradas en Dólares Estadounidenses en la República Argentina.;
a3:-949;a3;2026-09-21;10:00;16:00;Finalizada;ON PyME CNV;ON BAJO IMPACTO PAMISA SERIE I;PAMISA S.R.L;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;1.000.000.000,00;1.000.000.000,00;1,0000;-0,1000;;MARGEN DE CORTE: -0.10%;MARGEN;Holandés;NO AMPLIABLE;2026-09-23;2028-09-23;731;;BANCO SUPERVIELLE S.A. BANCO COMAFI S.A.;Clear;OBI2;Abierta;Las Obligaciones Negociables Serie I serán Suscriptas, Integradas y Pagaderas en Pesos;
cnv:3571464;cnv;2026-09-18;18:00;;Anunciada;ON Corporativa;OBLIGATORIA TOTAL - AVISO DE RESULTADOS OPA;INSTITUTO ROSENBUSCH S.A. DE BIOLOGÍA E Y A.;CNV - ON;;;;;;;;;;;;;;;;;;;;;OBLIGATORIA TOTAL - AVISO DE RESULTADOS OPA;https://aif2.cnv.gov.ar/Presentations/publicview/93606FE7-2DEF-47E9-85E5-FD63F6471EA3
cnv:3571508;cnv;2026-09-18;17:48;;Anunciada;ON Corporativa;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - INFORME DE CALIFICACIÓN DE RIESGO - ON SERIE XXIV;CREDICUOTAS CONSUMO S.A..;CNV - ON;;;;;;;;;;;;;;;;;;;;;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - INFORME DE CALIFICACIÓN DE RIESGO - ON SERIE XXIV;https://aif2.cnv.gov.ar/Presentations/publicview/7CCE708C-0E47-469B-8C8F-D7D0928F8610
